State,Year,Total
A & N Islands,2001,645
A & N Islands,2002,720
A & N Islands,2003,565
A & N Islands,2004,610
A & N Islands,2005,695
A & N Islands,2006,665
A & N Islands,2007,775
A & N Islands,2008,714
A & N Islands,2009,655
A & N Islands,2010,780
A & N Islands,2011,680
A & N Islands,2012,605
Andhra Pradesh,2001,52610
Andhra Pradesh,2002,58465
Andhra Pradesh,2003,57045
Andhra Pradesh,2004,67630
Andhra Pradesh,2005,67210
Andhra Pradesh,2006,66380
Andhra Pradesh,2007,74410
Andhra Pradesh,2008,71729
Andhra Pradesh,2009,72500
Andhra Pradesh,2010,79505
Andhra Pradesh,2011,75385
Andhra Pradesh,2012,71190
Arunachal Pradesh,2001,555
Arunachal Pradesh,2002,570
Arunachal Pradesh,2003,405
Arunachal Pradesh,2004,395
Arunachal Pradesh,2005,350
Arunachal Pradesh,2006,645
Arunachal Pradesh,2007,644
Arunachal Pradesh,2008,549
Arunachal Pradesh,2009,549
Arunachal Pradesh,2010,655
Arunachal Pradesh,2011,670
Arunachal Pradesh,2012,646
Assam,2001,13230
Assam,2002,12550
Assam,2003,12963
Assam,2004,14178
Assam,2005,14209
Assam,2006,15155
Assam,2007,15301
Assam,2008,14945
Assam,2009,14830
Assam,2010,14965
Assam,2011,13630
Assam,2012,16320
Bihar,2001,3015
Bihar,2002,3600
Bihar,2003,2984
Bihar,2004,1755
Bihar,2005,2715
Bihar,2006,3090
Bihar,2007,4825
Bihar,2008,5075
Bihar,2009,5255
Bihar,2010,6130
Bihar,2011,3975
Bihar,2012,3795
Chandigarh,2001,350
Chandigarh,2002,435
Chandigarh,2003,515
Chandigarh,2004,375
Chandigarh,2005,445
Chandigarh,2006,400
Chandigarh,2007,408
Chandigarh,2008,415
Chandigarh,2009,374
Chandigarh,2010,355
Chandigarh,2011,525
Chandigarh,2012,567
Chhattisgarh,2001,20051
Chhattisgarh,2002,19750
Chhattisgarh,2003,19595
Chhattisgarh,2004,22475
Chhattisgarh,2005,24405
Chhattisgarh,2006,23130
Chhattisgarh,2007,24195
Chhattisgarh,2008,24725
Chhattisgarh,2009,29415
Chhattisgarh,2010,32563
